method,conf_th,iou_th,AP,AP50,AP75,APu,APvt,APt,APs,APm,APl,AR1,AR10,AR100,ARu,ARvt,ARt,ARs,ARm,ARl,TP,FP,FN,P,R,F1
NMS,0.5,0.8,48.0343690196812,79.4594303887384,51.0844663414508,-100,34.7750320702011,40.9261624577818,56.7845435514945,39.0320935638796,64.8687818913963,25.8142403963711,60.587271994692,60.6106732583454,-100,42.754995394404,60.0538674285929,68.0006042398207,45.6920065491124,67.4689885496183,41369,9477,6309,81.3613656924832,86.7674818574605,83.9775080183508
NMS,0.6,0.8,48.0343690196812,79.4594303887384,51.0844663414508,-100,34.7750320702011,40.9261624577818,56.7845435514945,39.0320935638796,64.8687818913963,25.8142403963711,60.587271994692,60.6106732583454,-100,42.754995394404,60.0538674285929,68.0006042398207,45.6920065491124,67.4689885496183,40442,8280,7236,83.0056237428677,84.8231888921515,83.9045643153527
NMS,0.7,0.8,48.0343690196812,79.4594303887384,51.0844663414508,-100,34.7750320702011,40.9261624577818,56.7845435514945,39.0320935638796,64.8687818913963,25.8142403963711,60.587271994692,60.6106732583454,-100,42.754995394404,60.0538674285929,68.0006042398207,45.6920065491124,67.4689885496183,38468,6529,9210,85.4901437873636,80.6829145517849,83.0169948745617
NMS,0.8,0.8,48.0343690196812,79.4594303887384,51.0844663414508,-100,34.7750320702011,40.9261624577818,56.7845435514945,39.0320935638796,64.8687818913963,25.8142403963711,60.587271994692,60.6106732583454,-100,42.754995394404,60.0538674285929,68.0006042398207,45.6920065491124,67.4689885496183,30871,3804,16807,89.0295602018746,64.7489408112756,74.9723750197321
NMS,0.9,0.8,48.0343690196812,79.4594303887384,51.0844663414508,-100,34.7750320702011,40.9261624577818,56.7845435514945,39.0320935638796,64.8687818913963,25.8142403963711,60.587271994692,60.6106732583454,-100,42.754995394404,60.0538674285929,68.0006042398207,45.6920065491124,67.4689885496183,8208,277,39470,96.73541543901,17.2154872268132,29.2292078414615
NMS,0.1,0.9,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,42221,20345,5457,67.4823386503852,88.5544695666765,76.5955516853525
NMS,0.2,0.9,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,42265,16146,5413,72.3579462772423,88.6467553169177,79.6783832442572
NMS,0.3,0.9,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,42145,14277,5533,74.6960405515579,88.3950669071689,80.9702209414025
NMS,0.4,0.9,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,41878,12918,5800,76.425286517264,87.835060195478,81.7339032339911
NMS,0.5,0.9,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,41381,11671,6297,78.0008293749529,86.7926506984353,82.1622158244813
NMS,0.6,0.9,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,40455,10332,7223,79.6562112351586,84.850455136541,82.1713299141827
NMS,0.7,0.9,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,38473,8253,9205,82.3374566622437,80.6934015688578,81.5071395279861
NMS,0.8,0.9,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,30874,4845,16804,86.4357904756572,64.7552330215194,74.0410326510546
NMS,0.9,0.9,47.0796043352478,77.4317712313888,50.0536023058673,-100,34.3245736967075,39.1427944781201,55.663978618251,39.2113679678295,64.8963108386627,25.7562569624876,60.943088235827,60.9942096664685,-100,43.0318499947214,60.6691293272371,68.2888548735641,46.1811357326142,67.6025763358779,8202,471,39476,94.5693531649948,17.2029028063258,29.1103973310145
NONE,0.1,NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,42387,25318,5291,62.6054205745514,88.9026385334955,73.4718286056005
NONE,0.2,NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,42320,21053,5358,66.7792277468323,88.7621125047192,76.2172335233361
NONE,0.3,NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,42165,19137,5513,68.7824214544387,88.4370149754604,77.381170857038
NONE,0.4,NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,41893,17700,5785,70.2985249945463,87.8665212466966,78.1068508730225
NONE,0.5,NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,41403,16344,6275,71.6972310249883,86.8387935735559,78.5449371591179
NONE,0.6,NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,40472,14863,7206,73.1399656636848,84.8861109945887,78.5764903458787
NONE,0.7,NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,38481,12339,9197,75.7201889020071,80.7101807961744,78.1355966618611
NONE,0.8,NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,30875,7239,16803,81.0069790628116,64.7573304249339,71.9764080566953
NONE,0.9,NONE,44.6238044788746,72.8424335917498,47.6568761299231,-100,31.4762964159288,35.761931028517,54.0874576766489,39.1835621030971,64.9180498331354,25.7482034721737,60.9947975197382,61.2389315513349,-100,43.3064633907493,61.0435405680858,68.367961006805,46.2725675549947,67.6598282442748,8202,737,39476,91.7552298914868,17.2029028063258,28.9736298284967
