method,conf_th,iou_th,TP,FP,FN,P,R,F1
NMS,0.6,0.8,40442,8280,7236,83.0056237428677,84.8231888921515,83.9045643153527
OBS,0.6,0.8,40410,3888,7268,91.2230800487607,84.7560719828852,87.870748891015
NMS,0.6,0.9,40455,10332,7223,79.6562112351586,84.850455136541,82.1713299141827
OBS,0.6,0.9,40411,5041,7267,88.9091789140192,84.7581693862998,86.7840652850854
NONE,0.6,NONE,40472,14863,7206,73.1399656636848,84.8861109945887,78.5764903458787
NMS,0.7,0.1,37318,2662,10360,93.3416708354177,78.2709006250262,85.1445390038559
OBS,0.7,0.1,38449,5064,9229,88.3620986831522,80.643063886908,84.3263041308901
OBS,0.7,0.1,38321,1921,9357,95.2263803985886,80.3745962498427,87.1724294813467
NMS,0.7,0.2,38125,2315,9553,94.2754698318497,79.9635051805864,86.5316961347284
OBS,0.7,0.2,38365,1939,9313,95.1890631202858,80.4668820000839,87.2110204359983
NMS,0.7,0.3,38430,2499,9248,93.8943047716778,80.6032132220311,86.7425824144819
OBS,0.7,0.3,38374,1943,9304,95.1806930079123,80.4857586308151,87.2185919654526
NMS,0.7,0.4,38444,3081,9234,92.580373269115,80.6325768698352,86.1944105018889
OBS,0.7,0.4,38376,1957,9302,95.1478937842462,80.4899534376442,87.2072809080683
NMS,0.7,0.5,38448,3798,9230,91.0097997443545,80.6409664834935,85.5122103109292
OBS,0.7,0.5,38371,1983,9307,95.0859889973732,80.4794664205713,87.1751181388586
NMS,0.7,0.6,38448,4585,9230,89.3453860990403,80.6409664834935,84.7703145153289
OBS,0.7,0.6,38375,2044,9303,94.942972364482,80.4878560342296,87.1198792240372
NMS,0.7,0.7,38459,5521,9219,87.4465666211914,80.6640379210537,83.9184795653407
OBS,0.7,0.7,38403,2245,9275,94.4769730368038,80.5465833298377,86.9574077847972
NMS,0.7,0.8,38468,6529,9210,85.4901437873636,80.6829145517849,83.0169948745617
OBS,0.7,0.8,38417,2662,9261,93.5198033058254,80.5759469776417,86.5666933312302
