method,iou_th,AP,AP50,TP,FP,FN,P,R,F1,dataset,conf_th,AP75,APu,APvt,APt,APs,APm,APl,AR500,ARu,ARvt,ARt,ARs,ARm,ARl
NMS,0.4,22.20905193536429,57.19923869048456,30372.0,21111.0,18680.0,58.99423110541344,61.91796460898639,60.42074899288804,DroneCrowd,0.1,11.1659036419679,-100.0,57.48674353017531,86.43448654197975,-100.0,-100.0,-100.0,70.96346734078122,-100.0,70.97399286078532,100.0,-100.0,-100.0,-100.0
NMS,0.5,23.556620386531787,59.00154091229003,31578.0,24334.0,17474.0,56.47803691515239,64.3765799559651,60.169200868869325,DroneCrowd,0.1,12.75353810287293,-100.0,59.30130063775438,86.88705064984293,-100.0,-100.0,-100.0,73.95417108374785,-100.0,73.96634370219276,100.0,-100.0,-100.0,-100.0
NMS,0.6,24.266146256008515,59.71086988015474,32463.0,29242.0,16589.0,52.60999918969289,66.1807877354644,58.62022264958423,DroneCrowd,0.1,14.02522953722263,-100.0,60.01608656452648,86.87074825355697,-100.0,-100.0,-100.0,75.48112207453315,-100.0,75.49005609382968,100.0,-100.0,-100.0,-100.0
NMS,0.7,24.488315944838508,59.09928510844927,33105.0,36300.0,15947.0,47.69829263021396,67.48960287042323,55.89369982356467,DroneCrowd,0.1,14.78079861179239,-100.0,59.39441477687514,86.85236674101861,-100.0,-100.0,-100.0,76.40870912501019,-100.0,76.41203467618563,100.0,-100.0,-100.0,-100.0
NMS,0.8,24.003365575432458,57.03408643827916,33456.0,45594.0,15596.0,42.32258064516129,68.20517002364838,52.23337652807919,DroneCrowd,0.1,15.170047028545822,-100.0,57.31353985812676,86.66968172747204,-100.0,-100.0,-100.0,76.70635244230613,-100.0,76.70168281489036,100.0,-100.0,-100.0,-100.0
NMS,0.9,21.64826744433041,50.67245235777161,33428.0,60856.0,15624.0,35.45458402273981,68.14808774361902,46.64285315622035,DroneCrowd,0.1,14.288669991299953,-100.0,50.99248123621813,65.86616085184043,-100.0,-100.0,-100.0,75.67683274891951,-100.0,75.67159612442632,100.0,-100.0,-100.0,-100.0
OBS_no_NMS,0.1,18.62543984370313,45.87051566625732,24764.0,20217.0,24288.0,55.05435628376426,50.48519938024953,52.67087086448375,DroneCrowd,0.1,10.76981077440191,-100.0,46.35169719378538,32.98146141144726,-100.0,-100.0,-100.0,58.33809019000245,-100.0,58.35798062213157,37.03703703703704,-100.0,-100.0,-100.0
OBS_no_NMS,0.2,20.39318766966488,50.40887185482909,27274.0,22240.0,21778.0,55.08341075251444,55.60221805430972,55.34159852281719,DroneCrowd,0.1,11.830789317289431,-100.0,50.90931900377841,62.75687001190921,-100.0,-100.0,-100.0,64.05855011008725,-100.0,64.07343192248852,74.07407407407408,-100.0,-100.0,-100.0
OBS_no_NMS,0.3,21.903246614051927,53.8153956341941,29172.0,23803.0,19880.0,55.06748466257668,59.47158117915682,57.18486283042724,DroneCrowd,0.1,12.808096118248788,-100.0,54.33577189951716,66.17292955841783,-100.0,-100.0,-100.0,68.40291935089293,-100.0,68.42019377868435,77.77777777777779,-100.0,-100.0,-100.0
OBS_no_NMS,0.4,22.954862282913364,56.240434738505975,30506.0,25034.0,18546.0,54.926179330212456,62.19114409198402,58.333333333333336,DroneCrowd,0.1,13.43576115275803,-100.0,56.77102862290312,79.81047089671374,-100.0,-100.0,-100.0,71.49963304248553,-100.0,71.51045385007649,92.5925925925926,-100.0,-100.0,-100.0
